event_id,neutrino_energy,true dir,linefit best dir,linefit seed dir,linefit_ang_err,splinempe best dir,splinempe_ang_err
27,2073260.0943027518,"[158.05583083469827, 284.3211718761447]","[158.79816656876562, 284.57325262155814]","[158.84410753672353, 284.9895968681961]",0.748098068654057,[159.03847413 284.97364636],1.0111896530386613
28,2775699.082506822,"[86.33620839770465, 290.1336670441989]","[86.29332613747168, 290.3633743468853]","[86.35152483997322, 290.0643519781247]",0.23320879284722065,[ 86.34417257 290.49543769],0.3611206983692693
29,2029686.0142163502,"[103.46708429553615, 0.0068558262326444104]","[104.19603547967571, 360.9900350074311]","[104.04235395439026, 360.90414295794784]",1.2011445466859838,[103.92584999   0.76093926],0.8644210049552326
30,6831720.431473095,"[143.32471246539959, 266.61574315173584]","[144.11811258301535, 266.99974475779317]","[143.08923214670563, 268.882951586411]",0.8252916909819521,[143.09072607 268.68299437],1.2599777461998354
31,3818501.600787139,"[133.05144196058734, 9.365453469314494]","[129.81991281016647, 11.993191163508676]","[129.89948291860068, 11.912954395424812]",3.7841773522040185,[129.91760227  12.16906572],3.7720120003648465
32,29538394.66440347,"[141.26609310931508, 242.6941842945061]","[141.5102697635374, 242.8293338372413]","[141.6713283142707, 243.10672740093605]",0.2583315947734652,[141.55850797 242.75636916],0.2949758347693996
33,2399036.060224883,"[136.29668169987568, 20.478429820379063]","[136.05675153896368, 21.78196528816237]","[135.7967711741181, 22.443956250835825]",0.9339473966121411,[135.99774184  21.87096104],1.0099938001221451
34,16840330.215516783,"[140.48858741448944, 284.44421779273375]","[141.82885557942595, 286.9353970198019]","[141.80124715829004, 285.71686020500357]",2.05827418378143,[141.89164725 286.70402588],1.9934348657456347
35,16655366.692538513,"[161.54799201886507, 90.19843996684125]","[161.1077159265575, 91.76358890311487]","[161.11355876400395, 91.54590134876861]",0.6669953645698781,[160.95182909  88.4398735 ],0.8214900678496285
36,1509869.8305170897,"[154.2615323676272, 188.23370154857315]","[154.32628999224343, 188.49695386684704]","[154.46661137967047, 188.89068301969348]",0.13127138080071712,[154.46230113 188.58985899],0.25309234947106674
37,1495221.5164236994,"[142.55402062390488, 198.28724261826605]","[142.04167077250378, 198.37950993741805]","[142.43889872133272, 198.29059852489286]",0.5154475871870766,[142.45592489 206.69791522],5.117555048941118
38,93499814.76898004,"[105.2213722262958, 302.14018723673746]","[102.82766828071351, 299.0356621499435]","[102.88648441581019, 299.40490604628116]",3.847100146387552,[103.34070807 302.81785892],1.9920203928680458
